Index,Sentence
697,He discovers something every day like an inventor .
698,I woke up few minutes ago .
699,"I have a meeting today , so there work that I have to do ."
700,I 'm really late .
701,A Firework Display !
702,I went to a fireworkdisplay on August 7 .
703,It was held near the sea at my hometown .
704,About ten thousand of fireworks were set off .
705,I went there wearning a yukata with my friends .
706,Both of them were delicious !
707,"After that , I watched the fireworks ."
708,They were wonderful and I was excited ! !
709,Have you ever seen the movie `` This is it `` ?
710,"In Japan , the movie got to No . 1 on a weekly movie chart ."
711,A lot of my friends have seen `` This is it `` and all of them have been enthusiastic about Micheal Jackson .
712,"I 've also been a Michael Jackson fanatic since I was a teenager , but I ca n't go see the movie because I have to take care of my two young children with my wife . . ."
713,"BTW , I can do the dances in Micheal Jackson 's music videos , like `` Thriller , `` `` Billie Jean , `` and `` Smooth Criminal `` ."
714,I will teach the dance of `` Thriller `` to my friend who is a dance club member .
715,"I made a GM , which appears in Japanese animation `` Mobile Suit Gundam . `` I like this robot ."
716,It is also fun to paint differently from the original version .
717,"Yesterday , I submitted my graduation thesis ."
718,I thought that submitting it was the same as the certification of my graduation since my thesis was already checked by my professor .
719,"But in fact , I understood that in March I have to take an oral examination ."
720,I 'm a little disappointed with this .
721,I had planned how to spend my holiday . . .
722,The days I have to study will continue . .
723,JP are too nervous to survive !
724,and let them go abroad for one year or so ! !
725,"I sympathize with that way of thinking ,"
726,I participated ina training workshop for sports orthopedics .
727,Each doctor spoke about `` knee problems `` .
728,The content of the speeches interested me .
729,I was especially interested in the speech about `` movement of analysis `` .
730,maybe I caught a cold : (
731,I think that maybe I caught a cold .
732,Usually I 'm the one who always complains about the air - conditioner in my office .
733,"I always feel hot and I always shout `` It 's too hot `` at my colleagues , but now I have to turn off the air - conditioner ."
734,I sit near the window so it 's the hottest place in the room but now although the sky is full of sunshine and all the heat is coming through the window I do n't feel any warmer .
735,I have to take some medicine first before a real cold catches me ( ^ _ _ ^ )
736,This is my first time writing an article using English !
737,I 'm a university student in Japan !
738,"I like baking sweets , going on trips , listening to music , and playing instruments ."
739,I can play a guitar and a piano .
740,And I love Japanese culture so I am learning about the Japanese tea ceremony .
741,I want to work in a foreign country in the future : )
742,"I 'm a student of the department of history . However , I must learn more than that . Such as international relations , English , and Japanese ."
743,"Everyday , I study those four aspects from 7 : 00 to 22 : 00 ."
744,And I always have no time to do any others .
745,someone told me I must speak English very well .
746,"I need friend and I need people to be content with me . However , people do n't like me . Atleast this is what I think ."
747,who can help me or tell me what can I do ?
748,My Anxiety
749,He had secretly smoked with his friends .
750,His teacher came to our house .
751,He told me what had happened .
752,This is the first time that I have heard of their misbehavior .
753,I thought my son wanted to escape from being forced to study by me .
754,"I reflected on myself a lot and said to him ,"
755,"`` You do not have to study so much , so you should stay home . ``"
756,I have heard the sound of them walking on the roof .
757,One day I heard a voice in his room so I opened the door to his room .
758,"Then , I saw two boys hiding behind the bunk bed ."
759,I asserted to them about a few things .
760,I am sorry that you do not keep the promises you made with me about not smoking and studying harder .
761,What should I do ?
762,This is my first time to use this site .
763,So I would like to communicate with whoever wants to ( speak with me ) .
764,I tend to believe in ghosts because I was born in small town .
765,The population of my town was low .
766,My neighbor 's house was old so it was easily broken when a typhoon comes to our region .
767,"Before I tried to sleep at night , I always went to the restroom where I can see their house ."
768,I could n't do anything because I was a kid .
769,"I called my mom : `` Hey , I found a cockroach so please kill them . ``"
770,`` com ' on mom ! ``
771,`` hurry up ! ``
772,I often used something like that .
773,My high school years ( 4 )
774,They entertained me nearly through all of grade 2 .
775,"Of course , I was worried about my behavior when I was found enjoying them ."
776,They finally found out .
777,I was suspended to make a self - examination . ?
778,"At the beginning , though , I found that I could not catch up with my lessons , for I had missed so many lessons ."
779,"Because of this , it took me four years to finish the three - year junior high school ."
780,She likes the new hospital because the doctor explains to her well .
781,It 's at a very easy level .
782,I heard it 's good to read many books in a suitable level .
783,"Now , the number of words I can read is 2666 words ."
784,5th generation iPod nano
785,I bought a 5th generation iPod nano last December .
786,So it is not easy for me to use Apple products .
787,I can import music into my iPod nano but ca n't understand the way to import any pictures .
788,"Finally , today , I found out how to import some pictures into it !"
789,I am very happy about being able to do that .
790,"I had a very busy day today . I had two classes , checked students ' notebooks and there was a business trip ."
791,"I was going to go to conversational English class , but the English teacher caught a cold yesterday , so today 's lesson was canceled ."
792,"I went to a Mexican restaurant , `` El Torito `` tonight and ate Enchilada , Salsa chips , Ceaser salad , and ice cream and drank a Margarita which was frozen with a salt fringe around the glass ."
793,"I like Margaritas very much , but its alcohol level is kind of high , so I 'm always getting sleepy after drinking ."
794,There are many tv screens hanging on the wall and the tv channel is always sports channel `` ESPN . `` Today 's sport was baseball .
795,football season will start in August . . . . .
796,so now all that we can watch is baseball games and hockey games .
797,Today is Guy Fawkes Night ( or bonfire night ) in Oxford .
798,"Although it is officially the fifth of November , the event is to be held Saturday night this year ."
799,Last year my wife and I went to the bonfire held at South Park .
800,"Although it was a cold night , the large park was full of people ."
801,"Guy Fawkes tried to blow up Parliament in order to kill King James I of England and VI of Scotland , but failed and was arrested on the fifth of November in 1605 ."
802,The failed assassination attempt is now known as the gunpowder plot .
803,"For some reason , the British have been celebrating this day with a bonfire and fireworks for more than 400 years ."
804,I 'm not even sure that the British are in favour of or are against Guy Fawkes himself and his plot .
805,"In my opinion , most of them may be taking advantage of his failed attempt as a reason / excuse to enjoy fireworks ."
806,"For me as a Japanese , fireworks on a cold autumn night are very unusual and is quite a surreal experience , since fireworks are icons of the hottest summer season in Japan , reminding me the humidity and hot air , girls wearing yukata ( by the way , girls with yukata look 30 % more attractive and prettier than usual ) , kakigori ( crushed ice with fruit - flavoured syrup ) , and so on ."
807,"When a British `` guy `` visits Japan and see fireworks festivals in summer , what would he think / how would he feel ?"
808,Drowsiness
809,"I stayed up all night last night , and so I am terribly sleepy today ."
810,"However , I do it anyway ."
811,"Because drowsiness harms study , it is necessary to take care ."
812,In most schools in Japan there is vacation during summer .
813,But I must go to school tomorrow .
814,Our school starts vacation at the end of this week .
815,I am looking forward to it very much .
816,Packers v . s . Falcons
817,One of the division play - offs is `` Packers v . s . Falcons `` .
818,The Falcons have beaten the Packers this season .
819,This clip tells me that the next game will be too close to call .
820,"This movie 's origin is the graphic novel `` WATCHMEN `` , written by Alan Moore , illustrated by Dave Gibbons ."
821,"I can say , `` WATCHMEN `` challenges the reader 's mind ."
822,What is evil ?
823,What is justice ?
824,What is humanity ?
825,We can be allowed to sacrifice someone to save the world ?
826,I 've had no time to write on Lang - 8 .
827,I 'm writing on Lang - 8 for the first time in a month .
828,"I went to Shiga prefecture last week , and stayed at Biwako Hotel beside a lake ."
829,"At night , I watched the harvest moon ."
830,I completely forgot about a lot of work .
831,Then he begins climbing the stairs .
832,I study English almost every day .
833,But I 'm not good at English .
834,"Therefore , I want to learn to read , write and speak English ."
835,"By the way , I have a Twitter account ."
836,I went out to a Yakitori restaurant with my collegue after work last night .
837,"It was so hot during the day , so I wanted to go to a restaurant in which air conditioning works ."
838,"When we stood in front of the door of that restaurant , we found the door was open ."
839,I had a feeling that what I did n't hope for would now happen .
840,Due to the hot atmosphere I could drink much more beer .
841,I felt more comfortable as wind sometimes blew into the restaurant .
842,"As you might know , the Yakitori is a popular Japanese food ."
843,"It is made from several bite - sized pieces of chicken meat , or chicken offal , skewered on a Bamboo skewer and barbecued ."
844,"It is served with salt or with `` Tare `` sauce , which is generally made up of mirin , sake , soy sauce and sugar ."
845,Yesterday I went to a famous fortune teller .
846,She is in Harajuku Tokyo and is called `` Mother of Harajuku `` .
847,"I always inquire about my job , my marriage and my health ."
848,She said that I 'll meet my destined woman next spring ! !
849,I 'm looking forward to meeting her .
850,I just have a question :
851,How do you say TO and FROM in Japanese
852,Or when you give a gift ?
853,I write in my diary on Lang - 8 in English for the first time .
854,"So , I try to write in my diary to learn how to use English ."
855,I write in my diary every day as much as I can / as much as possible .
856,"Today , I went to a restaurant to eat okonomiyaki with my friends ."
857,I could eat as much as I wanted .
858,"However , I ate too much and have a sore stomach ."
859,I 'm studying the immune system now .
860,I will explain about my research in more detail someday .
861,"I passed the qualification exam , `` Eiken , Pre - one grade `` a few months ago ."
862,"applicants , so I think that is why they 're going to hold this sample test ."
863,"In these months , I have not been a diligent student ."
864,I 'm always busy these days !
865,These days I 'm always busy because school has started .
866,"Since school started , I do n't have much time to do anything I want to do ."
867,"Unfortunately , the only thing that I have time for is studying , studying , and more studying ."
868,We are all going crazy now .
869,"This year my teachers are funny . Also , I have joined a modern drama club ."
870,Drama club is funny and exciting .
871,"My new life , is full of happiness and fun times ."
872,But my life is also full of pressure .
873,"So , I need to study hard now ."
874,I bought some stocks last Oct .
875,"Since then , I 've been really interested in economics ."
876,The economics in Japan is easily affecteed by that of foreign countries ( especially US ) .
877,"Of course not only Japan , many countries ' economics are affected by other countries ' economics ."
878,"Now , in my country , many people were fired , and what is worse , it 's difficult for anyone to find new job ."
879,There 's alot of bad news like this now . . .
880,"However , do n't you think the relationship of economics between one country and another is interesting ?"
881,I think it 's still too early for me to talk about economics in English .
882,"Since I 'd like to know about these places as much as possible , I am reading guide books and checking the internet every day ."
883,I Have Become Aware
884,"Recently , I 've become aware that it 's not easy to earn money ."
885,We never earn money at the time of working .
886,Maybe there are some jobs that can get lots of money a day .
887,But I do n't think they are absolutely good jobs .
888,Have a nice day ! !
889,It is a nice weather today !
890,I like such a day .
891,"I had only a class on management today . It was boring ,"
892,It means that the final - exams are coming soon .
893,Maybe I gon na turn crazy . . . . .
894,But I am not in the mood to study . . . . I am so lazy . . . . . .
895,By the way I am about to leave for home
896,Today my college will hold an event ! I think it will be fun !
897,This event is held once a year .
898,I could meet a lot of friends ! I am very excited !
899,This story shall continue later . . . . . . . .
900,I cooked two hamburger dishes yesterday .
901,I was going to play tennis in the afternoon .
902,But what makes these two videos totally different ?
903,"When the sun shines , I will hold your hand and together we will walk along the streets ."
904,Today I 'd like to tell a story about a drunk who lost his keys .
905,"It 's a famous joke , so you may have heard it"
906,I think it is a simple story but it teaches us important lesson about our life .
907,"One night , a man goes out to drink at a local bar ."
908,"After saying goodbye to his friends , he begins walking home , singing happily"
909,"As he is getting close to his apartment , he takes his keys out of his pocket but drops them on the ground in the dark ."
910,"Once he realizes his keys are missing , he wanders around a street lamp and begins looking for them"
911,I had a trouble with my English .
912,Though I have been learning English for a long time .
913,"I knew my problem was that I cound 't catch the meaning what people had said , and my pronunciation was too bad ."
914,"I wanted to be able to master English conversation , but I spent most of the time studying grammar and even I tried to read newspaper and novels ."
915,"All study are helpful , but some of them are not effective ."
916,It is important for me to know what I want and focus on it .
917,Japanese comedians sometimes parody the foreigner 's way of speaking Japanese .
918,"The way they do this is by omitting particles , incorrect accent and intonation and it seems that they can be categorised by nationalities ."
919,I suppose this may be true from my experiences and acutally English children learn nursery rhymes by language acquisition .
920,"Otherwise , if Japanese learners mimicked their rhythm , even if it was strange Japanese , they might obtain the skill to speak naturally ."
921,Junzo Kawada is a researcher in cultural anthropology and he went to Africa to research a tribe whose language does not have letters .
922,He claimed that they use their imagination to convey to their drums .
923,"When I listened to this story , I thought this is like typing to a keyboard ."
924,Because there are rhythm patterns when you hit the keyboard .
925,It takes about a minute to go the station . ( by foot ? )
926,"I 'm going to commute , by subway , to my office which is in Liu Jia Zui ."
927,I have to transfer to `` line two `` at Jing An Si station .
928,It 's a big station and there are a lot of shops and restaurants around there .
929,I drink coffee everyday .
930,My favorite coffee is Coffee Mocha .
931,This is a chocolate flavored coffee .
932,Because it tastes very bitter .
933,What type of coffee do you like ?
934,Laptops make people lazy .
935,I hate to use the laptop because it makes me lazy .
936,"I use the laptop on my bed , I surf the internet , and finally I watch dramas . . ."
937,"it makes me NOT STUDY , and NOT EXERCISE !"
938,I worked until late tonight .
939,I 'm very tired and ( very ) sleepy .
940,What are the most popular English websites ?
941,Which of them are the majority of Englishmen / Americans visiting every day ?
942,"The best would be those with interesting contents , news , or sites about science , computer science etc ."
943,I want to improve my ability to write in English .
944,I finished my work a little earlier than usual and bought a birthday cake for her on the way back home .
945,Our oldest son had a headache during the daytime .
946,"Today , I read a magazine about environment ."
947,The magazine is NATIONAL GEOGRAPHIC .
948,I was impressed by an article written about jet man .
949,"He flew by jet engine , which made the man a bird ."
950,so he was called Bird man .
951,"I think that the human dream is to fly in the sky , and I envy him ."
952,I ate KAKIAGE - UDON for lunch .
953,"KAKIAGE is a Japanese deep - fried food , which includes some vegetables such as carrot , onion etc ."
954,"UDON is a kind of noodles ,"
955,wheat noodles .
956,It 's a sunny day
957,It 's a sunny day today .
958,The sun is shining brightly .
959,It makes me happy .
960,Yesterday I was not happy .
961,I went to my graduate school by bus .
962,On the way back home it was raining even more .
963,I got on the bus .
964,"After I sat down , I checked my wallet ."
965,Oh my god !
966,"I had a bill of five thousand yen , but I did n't have anychange ."
967,The fare of the bus was 220 yen .
968,"On most Japanease buses , you ca n't get change ."
969,He said he did n't have any change .
970,I asked him what should I do .
971,"He said I could go without paying the fare , but next time I get on the bus I you should tell the driver this story , and pay the fare then ."
972,"I thanked him , and got off the bus ."
973,On the way home from the bus stop I got soaking wet .
974,"Hi everyone , nice to meet you ."
975,"Because Gunma is not a famous like Tokyo , and Kiryu is in that prefecture 's countryside ."
976,I had to pay for electricity and Internet .
977,"In Tanzania , almost everything is an advance payment system while everything is a later payment in Korea ."
978,"Here , I use a prepaid electricity system called LUKU ."
979,I have to buy voucher first if I want to use electricity .
980,( I 'm not sure whether voucha is an English word or not . ) ( voucher is correct )
981,in case of mobile phone and Internet and so on . . . . .
982,I could n't use internet during last weekend beause my internet valid period was over on last Friday .
983,"Thus , I had to go to town today ."
984,I bought some fruit and a bottle of wine on my way to town .
985,I also bought a wine glass to drink / for drinking wine .
986,I drank a glass of wine and I felt so good .
987,I may look like an alcoholic : - (
988,"We have a good time there , because our house is bigger than our old house that we lived in a month ago ."
989,"It is not national a sport ,"
990,but we can watch every match on NHK national TV broadcast .
991,"In Japan , sumo matches are held 6 times per year ."
992,"The festivals on odd number months are held in tokyo ,"
993,and even one 's are in other areas such as Osaka Naoya and Kyusyu .
994,"last Sunday , the festival in Osaka began ."
995,It is called `` Haru - basyo `` which means spring season .
996,"Recently , we can see foreign sumo wrestlers , especially from mongolia ."
997,"If he wins the championship this season , he will be selected as `` Ozeki `` ."
998,"I had planned to go skiing with my family this weekend ,"
999,but I canceled when we heard about this disaster .
1000,It would have been the first time for my children to go skiing .
1001,Recently I 've had insomnia .
1002,I 've felt very tired .
1003,What should I do ?
1004,neck is stiff and back is sore too .
1005,What is the difference between `` can `` and `` kin `` ?
1006,Today 's Work
1007,I have to make a document by Friday .
1008,I finished making the document today .
1009,Me and my staff visited one client and had a meeting with them .
1010,"In that meeting , there was a hard negotiation between us and the client ."
1011,We discussed about how to operate this deal .
1012,"Finally , we set the date of our next meeting and agreed on our next points to discuss ."
1013,Pollen is blowing everywhere .
1014,It becomes warm and confortable to go outside .
1015,Pollen gives me hayfever .
1016,"When I was looking up the word ' agitate ' in dictionary , I found an example which confused me ."
1017,A big mosquito has bitten me !
1018,There 's a mosquito in my room .
1019,It looks very big .
1020,He already bit me a couple times when I was taking a nap .
1021,I do n't want him to live all night long . . .
1022,My friend who is Japanese can listen carefully thier sound and then he can tell if they are male or female .
1023,"I think that if they are male , they do n't want ( to bite me / my blood ) ."
1024,I ca n't do the same as my friend .
1025,But I think the mosquito in my room is female .
1026,Because it bit me in two places .
1027,I am itchy now . . . .
1028,"On our project meeting , we talk about what each person trying next week ."
1029,"Anyway , we have kind of a strange custom for christmas ."
1030,Eating KFC chicken is one of the example for our unique custom for christmas .
1031,"My cousin said my diaries always are so short , but I do n't know what I can write in the diary ."
1032,Mosquitoes like this weather .
1033,They fly into the house when someone opens the door .
1034,I am on a train on the way to my university .
1035,"Whenever I 'm on a train , I observe people in there , especially those who are on the opposite seat from where I 'm sitting ."
1036,"About 10 people can sit down on the seat , but I can see 5 people at first sight ."
1037,"Now , three girls are playing with their mobiles and two old guys are sleeping ."
1038,"Ah , the train arrived at the station , so I have to change trains ."
1039,"As I wrote on this diary on November 4th , one of our managers gave a lecture on cost management ."
1040,The measure to deal with the falling birthrate
1041,DPJ 's main policy to combat the falling birthrate is by giving 26000yen per child per month to parents .
1042,I think that it 's not enough and not a good policy .
1043,"I read an economist opinion in the paper that said `` Big companies should set up day - care centers for children . `` The same paper said that Itochu , a famous trading company , set up a day - care center ."
1044,"According to the article , Mitsui Bussan and Sumitomo Shoji , which are also famous trading companies , already have their day - care centers ."
1045,"I think & nbsp ; that companies having their own day - care center is very good idea , and a very good measure to address the falling birthrate ."
1046,Most of the fathers or mothers would go to day - care centers on their way to the office and they take more time for commuting .
1047,But if their company has a day - care center they can go to their office with their children without time consuming detours .
1048,"If a day - care center is near their office , they can easily go there to watch their child 's life ."
1049,So I wish many more companies would set up their own day - care centers near their office and many people can easily have both a career and children .
1050,I will start my diary .
1051,"Recently , It has been very hot ! !"
1052,then I tried to sleep again .
1053,It was too tiring to do in the morning .
1054,I 'm working at admission center of a university in Japan .
1055,"I do n't like office work , but my colleagues are very funny ."
1056,so I can keep on working there .
1057,Our boss gives us ice cream sometimes .
1058,but I have decided to go abroad or take part in working holiday next year .
1059,that ` s it for today .
1060,I have to study English more .
1061,"If you go and look at the moon , it appears to move with you ."
1062,"And , if you 'll look at it carefully , you might notice that it has a human 's face : a nose , raised eyebrows , a lovely smile . . ."
1063,"One dark night , Ira Dmitrieva was coming home , but the moon 's smile was n't lovely for her ."
1064,"On the contrary , the moon seemed to tell her : `` You 'll see how you will be met at home ."
1065,`` It 's very late . ``
1066,Ira looked at the ground and thought : `` If only my parents were sleeping ! ``
1067,"She wanted to blame someone , but she knew that she could n't ."
1068,Ira looked quickly at the windows of her flat on the fifth floor .
1069,"Much to Ira 's dismay , there was a light on inside ."
1070,`` What should I tell them ?
1071,Ira remembered how her mom 's voice sounded when she was angry .
1072,Ira was very scared .
1073,"I watched a movie called , `` Broken English `` alone yesterday ."
1074,I got a day off suddenly and I wondered what I would do .
1075,"Eventually , I watched it but it was really boring ."
1076,It was about a lady who falls in love with a French man .
1077,"I thought he could n't speak English fluently which was the reason of the title , but he could ."
1078,"He only made one mistake , and it was mixing up angry and hungry ."
1079,"He said he was hungry , but she realized that he was angry ."
1080,It was really funny because his English was really fluent .
1081,"I have finished two line drawing ( handmade sketches on paper ) , I am going to color it in class tomorrow , so teacher could correct me simultaneously ."
1082,she went to see a doctor in a big hospital .
1083,"And yesterday , she came back with the result ."
1084,The result of the blood test and CT scan were all normal .
1085,"Actually , she had terrible constipation . . . ."
1086,Because of my doubts I researched something about this topic on the internet and I discovered that for some people it 's not easy .
1087,but I think this test would last five minutes !
1088,The champions league 's 2nd leg of the quarter finals were held yesterday and today .
1089,"In the quarter finals , Raul , who belongs to Schalke , got the goals in the 1st leg and the 2nd leg , which gave me goose pumps ."
1090,I start ( started ) lang - 8 today .
1091,I 've been thinking about why I want to study English .
1092,And tonight I got a part of the answer .
1093,I have a feeling that it is different from everybody else 's ( reason ) .
1094,But everybody has a reason why they want to study second launguage .
1095,I want to study hard so I can explain my answer .
1096,I was a child when I first watched this movie .
1097,"It was amazing , the story line in particular ."
1098,"In the last scene of this movie , Doc dropped an important cable from the roof of the school many times ."
1099,I almost destroyed the TV in anger .
1100,"I can imagine , after this movie released , many American kids played with skateboards on the road ."
1101,I think the best ways to learn Korean are the same as English .
1102,The best way to practice listening is watching Korean dramas or movies .
1103,I will give you one .
1104,Read out loud even though you do n't understand the meanings .
1105,"Every day , read Korean books out loud , you will eventually master it ."
1106,"If you do n't have a friend to talk to , you can talk to me through skype ."
1107,"Maybe , you can speak in Korean to your family , even though they do n't understand it ."
1108,It is good practice .
1109,I think this is the hardest one .
1110,The best way is to write some things on this website and ask native Koreans to correct them .
1111,"I , actually , hated studying English when I was in high school ."
1112,My College 's Anniversary Celebrations
1113,April 18th is a special day .
1114,"It 's just one day away , and the college will be bustling with noise and excitement , I think ."
1115,"I will be busy receiving former students [ 1 ] on that day , because many of them are looking forwad to revisiting their old college . [ 2 ]"
1116,"Some of them have achieved great success in society , so they want to see how their former university [ 1 ] has developed in recent years ."
1117,My college has had a splendid 50 - year history .
1118,"Since I entered it in 2007 , it has developed greatly ."
1119,Its full name is Jiangxi University of Traditional Chinese Medicine .
1120,Have you ever graduated from university ?
1121,Tell me something about your college . [ 2 ]
1122,Drank with my Co - workers .
1123,"Yesterday , I went to drink with my co - workers in an IZAKAYA ."
1124,I spent a few hours reading e - mails .
1125,"I could n't finish all of my work today , but I can take another vacation for this weekend ."
1126,I 'm looking forward to getting the vacation .
1127,"I need a certain amount of salary to support my family , however my current salary is not good ."
1128,"So yesterday , I looked at some job hunting websites ."
1129,Do n't ask me `` Why did n't you wait to get married until you had a high paying job ? `` At that time I was very desperate to settle down in Singapore .
1130,"Needless to say , speaking a foreign language like a native speaker is almost impossible for everyone except native bilinguals ."
1131,"But for me , `` business English `` sounds like . . . `` almost perfect English . `` As far as I can see , Such super Japanese workers do n't exist ."
1132,Are there many Japanese people who can speak English like native speakers somewhere in Singapore somewhere that I do n't know yet ?
1133,What the heck is business English ?
1134,"Last night my friend told me about Lang - 8 , and I think it is very good for studying English . ."
1135,I wish to make friends with you guys . . .
1136,Today is a beautiful and sunny Saturday !
1137,I usually spend my weekends going shopping or doing exercises or just relaxing .
1138,I always think that keeping an English diary is a good way to practice my English skills .
1139,"But , unfortunately , I somehow did n't do it ."
1140,"Therefore , I chose to join Lang - 8 !"
1141,It has been 1 year since I came to the U . S .
1142,"But even though my English h [ / BLUE ] as not improved , one thing that I have felt is that I am not afraid of using English any more , even though I could not understand what people said ."
1143,"In other words , I do not care about the people around me ."
1144,I do n't know if it is good or bad .
1145,I am still eagerly wishing that I could use English like a native .
1146,"Second , I am going shopping ."
1147,"I hope I will have a good weekend , and so will all of you !"
1148,"At first , when I did n't understand the meanings of new words , I looked them up in the dictionary ."
1149,"But , by doing that , I did n't read quickly ."
1150,"( If the book belonged to me , I read it that way ."
1151,I understand the content up to now and will finish reading by Jun . 21 .
1152,Thank you for reading .
1153,"Hello my name is `` Pobiron `` , I 'm a university student in Japan ."
1154,In the future I would like to use English in my work .
1155,My friend told me about this web site .
1156,"And if you know a good place for my study abroad , please tell me : D"
1157,I will go to graduate school next year .
1158,"In Japan , most graduate students start looking for a job in their first year ( except for those who go for a doctorate ) ."
1159,I 'd like to experience working overseas before looking for a more permanent job .
1160,So I 'll think about taking a year off to join an internship program in Europe .
1161,I wrote that I often licked my lips before .
1162,It 's called ' Burt 's Bees ' . It was bought as a souvenir from America .
1163,My lips now feel enriched : )
1164,I 've not been there for half a year .
1165,It is generally accepted that our country called Japan has been influenced by many great people across the country .
1166,I think one female singer is the latest great person who produces a powerful effect on Japan .
1167,I would like to write about her impact in this essay .
1168,"For example , she often sings her own name in her songs ."
1169,"Not only are her songs unique , but her fashion sense is as well ."
1170,"For example , she dyes her hair into strange colours ; white , yellow and green ."
1171,Her costumes are also sexy and unusual .
1172,"Recently , she wore a black onion costume when she appeared on `` Room of the Tetsuko `` which is Japanese famous TV program , because Tetsuko 's hair style looks like an onion ."
1173,"Furthermore , LADY GAGA gave Tetsuko candy that she took out of her spiral hair ."
1174,Many Japanese people were so surprised .
1175,I went to a baseball game .
1176,I am a Hanshin Tigers fan .
1177,I saw someone waving Japanese flags on the bleachers .
1178,"Not a problem , but it does n't fit with a baseball game ."
1179,Normally they use Hanshin Tiger 's flags .
1180,Then I could see they were a foreigner .
1181,Then I understood .
1182,That is what 's most important !
1183,"In Japanese , New year 's resolution is called `` HOUFU `` ."
1184,Most of their `` HOUFU `` is about their work .
1185,"At Japanese workplace 's parties , almost everyone talks about work ."
1186,I 'm tired of that topic .
1187,"hmm . English is easy , but people regard it as difficult ."
1188,Why do people think English is very difficult ?
1189,"Actually , English is very simple ."
1190,Who makes English difficult ?
1191,English teachers !
1192,They are saying that English is hard for you .
1193,"So you need help , such as a friend , teacher , and so on ."
1194,This is a lie .
1195,"When I 'm depressed , I feel everything will turn in a bad way ."
1196,"I ca n't connect with my boyfriend , because he is at the party hooking up with some girls ."
1197,One of my friends have n't replied to my e - mail because she got in trouble or she does n't wanna talk with me .
1198,I dreamed somebody in my family will die and wake up crying .
1199,Actually nothings . bad has happened .
1200,How can I wake up from this nightmare here ?
1201,"Today , I gave a presentation ."
1202,I spoke well and confidently .
1203,I did n't get nervous at all .
1204,"However , I failed to illustrate the next subject ."
1205,I finished the presentation thanks to friends and our teacher .
1206,I felt I needed to make lots of effort to improve my English .
1207,Someday I want to give a good presentation like the other students .
1208,"After the lesson , I went to the library to return a DVD ."
1209,"Then , I went to the agency to upgrade my driver 's license , but it turned out I was not able to upgrade it ."
1210,"I need to submit a certification , but until I contact the Japanese embassy for it , I ca n't get a new license ."
1211,After that I went to a bank to get some information about how to open a bank account .
1212,"On the way home , I dropped by an appliance store in Southgate and bought a portable radio ."
1213,"John , a kind clerk , recommended a good one ."
1214,He showed me one that works with solar power and also has a dynamo crank .
1215,Of course I got that one .
1216,After that I went to a bicycle shop and they only handle special types of bicycles .
1217,So I went there for nothing .
1218,Finishing the presentation was a big load off my mind .
1219,Now I can get ready for my final examination tomorrow .
1220,A question
1221,I was watching the big bang theory and characters were using the phrase `` bite me `` and I was wondering what that means ?
1222,"By the way , this sheldon guy is very funny and the whole show is fantastic ."
1223,The road in front of my house has cherry trees along the street .
1224,Only one tree blossom is visible .
1225,I hope another cherry blossom will show early . We would be happy .
1226,I look forward to it .
1227,What would be a good choice for me ?
1228,"so I have to become better at speaking english ,"
1229,so I decided to go canada and already got a working holiday visa .
1230,after 5 months I 'll go there .
1231,I have n't decided anything .
1232,"the place I 'll go , how to use my working holiday visa well . . ."
1233,I got a working holiday visa so that I could learn English at a language school .
1234,"After that , I thought I 'd get a Marketing or Business certification , and use it to get an internship ."
1235,are too high .
1236,I need money to live .
1237,"So far , there 's nothing that can get me a good internship ."
1238,What can I do with bad English ?
1239,"I would have to work as a dishwasher or something like that , gosh !"
1240,I do n't want to make the wrong choice .
1241,I think it is my last chance in my life for my dream to come true .
1242,I had really good time on New Year 's Eve and New Year 's Day .
1243,"However , I have to start my activities tomorrow ."
1244,I have a lot of job interviews this month .
1245,"It 'll be tough , but I 'll enjoy it ."
1246,How to be used to doing routine work .
1247,"I may be lazy , because I have never planned my schedule ."
1248,I 've always thought that making a schedule was boring .
1249,"But the situation has changed , recently I 'm thinking about my future ."
1250,I went to a soccer game today .
1251,We played at a school .
1252,The result was three to two .
1253,The next game 's opponent was Senri Higiri .
1254,The result was six to zero .
1255,"First , last Wednesday I took an exam at the university ."
1256,All day it was raining .
1257,"At lunch , a light rain induced me to buy a delicious dish ( empanadas ) ."
1258,I finished the exam really fast and then I went home to sleep .
1259,I chose some subjects that will allow me to keep working while studying .
1260,"My career , engineering , really takes time to be completed , and it is really easy to lose years if you do not pass one subject in time ."
1261,"I started to study this week , I feel confident I will have a nice semester ."
1262,A bit of good news is that a coworker lent me a book about kanji . . .
1263,all written in Japanese .
1264,"Nowadays my current topic in Japanese is to end learning katakana . That is why I have to wait until I learn more vocabulary , verbs in particular ."
1265,It is raining in Tokyo again . . .
1266,today I have a job interview
1267,then I 'm gon na eat breakfast after taking a shower
1268,What important lesson have you learned from a family member ? alternatively from you family
1269,My parents taught me a lot of things .
1270,And they said you have to take risks if you want to become succesful .
1271,Also they said it is important to focus hard / well in order to contend / overcome with difficulties .
1272,"When I have to choose something , I always remember these lessons and decide which will really help me / make me stronger in the future in order not just choose the easy one ."
1273,"Many kinds of drinks are all free , and are self - service ."
1274,My favorite comic is `` JOJO ' S BIZARRE ADVENTURE `` published serially in `` A boy Jump `` ( the most famous Japanese comic magazine ) .
